Smoke-тестирование плеера,,
№,Описание проверки,Статус
Воспроизведение видео,,
1,Пауза/ снятие с паузы воспроизводимого видео ,
2,Перемотка видео ползунком в нижней части плеера,
Звук/ громкость видео,,
3,Изменение уровня громкости воспроизводимого видео,
4,Выключение/ включние звука воспроизводимого видео,
Масштабирование экрана видео,,
5,Вывод видео на полный экран и возврат и выход из полноэкранного режима,
6,"Переключение видео в режим ""Широкий экран"" и выход из этого режима",
7,"Переключение видео в режим ""Картинка в картинке"" и выход из него",
Субтитры к видео,,
8,Включение и выключение субтитров,
9,Перетаскивание субтитров по экрану плеера,
Дополнительные возможности,,
10,Изменение качества воспроизводимого видео в меню настроек плеера,
11,Изменение скорости воспроизведения видео в меню настроек плеера,
12,Трансляция видео на экран другого устройства,